Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability
AFGANISTHAN,101,Mohammad Nabi*,YES,100,1667,21.9,140.3,84,7.29,0.192,0.84,0.1106,0.3027,0.02
AFGANISTHAN,102,FAREED AHMAD,NO,21,27,0,112.5,30,8.7,0,1.43,0.1576,0.1576,0.02
AFGANISTHAN,103,NAJIBULLAH ZADRAN*,NO,82,1512,32.2,142.4,1,4,0.2866,0.01,0.0029,0.2895,0.02
AFGANISTHAN,104,QAIS AHMAD,NO,2,8,8,88.9,4,7.66,0.0445,2,0.2507,0.2951,0.02
AFGANISTHAN,105,HAZRAT ZAZAI,NO,32,952,32.8,136.4,0,0,0.2796,0,0,0.2796,0.02
AFGANISTHAN,106,AZMATULLAH OMARZAI,NO,13,72,12,100,5,8.39,0.075,0.38,0.044,0.119,0.02
AFGANISTHAN,107,IBRAHIM ZADRAN,NO,12,324,36,108,0,0,0.243,0,0,0.243,0.02
AFGANISTHAN,108,MUJEEBUR RAHMAN,NO,32,31,10.3,106.9,44,6.04,0.0688,1.38,0.2185,0.2874,0.02
AFGANISTHAN,109,NAVEEN-UL-HAQ,NO,19,18,18,85.7,26,7.91,0.0964,1.37,0.1661,0.2625,0.02
AFGANISTHAN,110,FAZALHAQFAROOQI*,YES,15,0,0,0,19,6.76,0,1.27,0.1799,0.1799,0.02
AFGANISTHAN,111,RAHMANULLAH GURBAZ,NO,31,810,26.1,137.5,0,0,0.2243,0,0,0.2243,0.02
AFGANISTHAN,112,RASHID KHAN*,YES,70,240,10.9,111.1,116,6.19,0.0757,1.66,0.257,0.3327,0.02
AFGANISTHAN,113,MOHAMMAD SALEEM,NO,0,0,0,0,0,0,0,0,0,0,0.02
AFGANISTHAN,114,DARWISH RASOOLI,NO,4,34,11.33,79,0,0,0.0559,0,0,0.0559,0.02
AFGANISTHAN,115,USMAN GHANI,NO,30,691,25.6,109.2,0,0,0.1747,0,0,0.1747,0.02
AUSTRALIA,116,AARON FINCH*,NO,96,2950,34.3,143.3,0,12.5,0.3072,0,0,0.3072,0.4
AUSTRALIA,117,ASHTON AGAR,NO,45,277,12,101.5,46,6.46,0.0761,1.02,0.1519,0.228,0.4
AUSTRALIA,118,JOSH HAZLEWOOD,NO,35,20,10,166.7,50,7.64,0.1042,1.43,0.1795,0.2837,0.4
AUSTRALIA,119,MITCHELL MARSH*,YES,42,996,30.2,126.9,15,7.76,0.2395,0.36,0.0442,0.2837,0.4
AUSTRALIA,120,KANE RICHARDSON,NO,33,16,5.3,100,41,8.28,0.0331,1.24,0.144,0.1772,0.4
AUSTRALIA,121,MITCHELL STARC*,YES,53,93,10.3,103.3,68,7.58,0.0665,1.28,0.1625,0.229,0.4
AUSTRALIA,122,MATTHEW WADE,NO,69,958,24.6,130.3,0,0,0.2003,0,0,0.2003,0.4
AUSTRALIA,123,ADAM ZAMPA,NO,65,45,5.6,88.2,72,6.97,0.0309,1.11,0.1526,0.1834,0.4
AUSTRALIA,124,PAT CUMMINS,NO,43,114,11.4,128,49,7.36,0.0912,1.14,0.1486,0.2398,0.4
AUSTRALIA,125,TIM DAVID*,NO,21,723,38,160.3,5,9.32,0.3807,0.24,0.0245,0.4052,0.4
AUSTRALIA,126,GLENN MAXWELL*,YES,91,2035,29.1,151.9,36,7.45,0.2763,0.4,0.051,0.3272,0.4
AUSTRALIA,127,STEVE SMITH,NO,58,980,26.5,125.6,17,7.77,0.208,0.29,0.0362,0.2442,0.4
AUSTRALIA,128,MARCUS STOINIS,NO,45,642,27.9,141.1,17,8.73,0.246,0.38,0.0415,0.2876,0.4
AUSTRALIA,129,DAVID WARNER*,YES,94,2820,33.6,142.2,0,0,0.2986,0,0,0.2986,0.4
AUSTRALIA,130,CAMERON GREEN*,NO,6,131,21.8,177,5,9.16,0.2412,0.83,0.0873,0.3285,0.4
BANGLADESH,131,YASIR ALI,NO,7,89,17.8,136.9,0,0,0.1523,0,0,0.1523,0.1
BANGLADESH,132,NURUL HASAN,NO,40,379,17.2,119.2,0,0,0.1281,0,0,0.1281,0.1
BANGLADESH,133,NAJMUL SHANTO,NO,12,204,18.5,103,0,3,0.1191,0,0,0.1191,0.1
BANGLADESH,134,MUSADDEK HOSSAIN,NO,28,351,20.6,116.2,16,6.93,0.1496,0.57,0.0792,0.2288,0.1
BANGLADESH,135,MEHIDY MIRAZ,NO,18,205,14.6,118.5,8,8.56,0.1081,0.44,0.0498,0.158,0.1
BANGLADESH,136,HASAN MAHMUD,NO,6,5,5,100,7,7.25,0.0313,1.17,0.1545,0.1857,0.1
BANGLADESH,137,SHAKIB AL HASAN*,YES,102,2170,23.8,121.8,122,6.73,0.1812,1.2,0.1706,0.3518,0.1
BANGLADESH,138,SHORIFUL ISLAM,NO,26,15,3,88.2,31,8.14,0.0165,1.19,0.1406,0.1572,0.1
BANGLADESH,139,TASKIN AHMED*,YES,38,84,9.3,94.4,27,7.71,0.0549,0.71,0.0885,0.1433,0.1
BANGLADESH,140,NASUM AHMED,NO,25,37,9.2,90,31,7.29,0.0518,1.24,0.1633,0.215,0.1
BANGLADESH,141,MUSTAFIZUR RAHMAN,YES,72,59,3.9,70,94,7.79,0.0171,1.31,0.1609,0.178,0.1
BANGLADESH,142,LITTON DAS*,YES,58,1246,22.2,128.6,0,0,0.1784,0,0,0.1784,0.1
BANGLADESH,143,EBADOT HOSSAIN,NO,3,0,0,0,6,9.58,0,2,0.2004,0.2004,0.1
BANGLADESH,144,AFIF HOSSAIN*,NO,53,906,22.1,120.8,8,8.25,0.1669,0.15,0.0176,0.1844,0.1
BANGLADESH,145,SOUMYA SARKAR,NO,66,1092,17.2,119.9,10,9.96,0.1289,0.15,0.0146,0.1435,0.1
ENGLAND,146,Jos Buttler*,YES,98,2395,33.73,143.75,0,0,0.303,0,0,0.303,0.45
ENGLAND,147,Mark Wood,NO,24,11,0,84.61,37,8.25,0,1.54,0.1794,0.1794,0.45
ENGLAND,148,David Willey,NO,43,226,15.06,130.63,51,8.18,0.123,1.19,0.1392,0.2621,0.45
ENGLAND,149,Phil Salt,NO,11,235,23.5,164.33,0,0,0.2414,0,0,0.2414,0.45
ENGLAND,150,Dawid Malan,NO,52,1710,38.86,136.8,1,13.5,0.3323,0.02,0.0014,0.3336,0.45
ENGLAND,151,Chris Jordan,NO,82,422,15.07,136.56,90,8.71,0.1286,1.1,0.121,0.2496,0.45
ENGLAND,152,Harry Brook,NO,15,323,32.3,148.16,0,0,0.2991,0,0,0.2991,0.45
ENGLAND,153,Alex Hales,YES,70,1881,29.85,136.8,0,0,0.2552,0,0,0.2552,0.45
ENGLAND,154,Chris Woakes,NO,21,121,24.2,145.78,23,7.54,0.2205,1.1,0.1394,0.3599,0.45
ENGLAND,155,Ben stokes*,NO,38,477,19.08,133.61,22,8.52,0.1593,0.58,0.0652,0.2246,0.45
ENGLAND,156,Adil Rashid,NO,87,91,6.5,85.84,89,7.53,0.0349,1.02,0.1304,0.1653,0.45
ENGLAND,157,Liam Livingstone*,YES,24,397,23.35,150.95,12,8.13,0.2203,0.5,0.059,0.2793,0.45
ENGLAND,158,Sam Curran,NO,30,146,12.16,136.44,33,7.8,0.1037,1.1,0.1354,0.2391,0.45
ENGLAND,159,Moeen Ali*,YES,66,995,23.13,146.32,40,8.42,0.2115,0.61,0.0691,0.2806,0.45
ENGLAND,160,Tymal Mills,NO,13,8,4,72.72,12,8.37,0.0182,0.92,0.1059,0.1241,0.45
NEWZELAND,161,Kane Williamson,NO,82,2248,32.57,123.44,6,8.33,0.2513,0.07,0.0084,0.2597,0.35
NEWZELAND,162,Tim Southee*,NO,101,250,11.36,140.44,125,8.2,0.0997,1.24,0.1449,0.2446,0.35
NEWZELAND,163,Mitch Santner,NO,74,461,17.73,129.13,83,7.16,0.1431,1.12,0.1504,0.2935,0.35
NEWZELAND,164,Jimmy Neesham,NO,54,661,25.42,164.83,25,9.12,0.2619,0.46,0.0487,0.3106,0.35
NEWZELAND,165,Adam Milne,NO,33,33,33,100,35,7.75,0.2063,1.06,0.1314,0.3376,0.35
NEWZELAND,166,Lockie Ferguson*,NO,22,15,7.5,136.36,33,6.84,0.0639,1.5,0.2105,0.2744,0.35
NEWZELAND,167,Mark Chapman,NO,40,761,24.54,125.37,4,7.3,0.1923,0.1,0.0132,0.2054,0.35
NEWZELAND,168,Trent Boult,NO,51,32,6.4,76.19,68,7.87,0.0305,1.33,0.1626,0.1931,0.35
NEWZELAND,169,Ish Sodhi,NO,82,117,10.63,113.59,104,8.11,0.0755,1.27,0.1501,0.2256,0.35
NEWZELAND,170,Glenn Phillips,NO,50,1106,30.6,145.14,2,8.28,0.2776,0.04,0.0046,0.2822,0.35
NEWZELAND,171,Daryl Mitchell,NO,35,657,25.26,141.59,7,10.26,0.2235,0.2,0.0187,0.2422,0.35
NEWZELAND,172,Martin Guptil,NO,122,3531,31.81,135.7,0,11,0.2698,0,0,0.2698,0.35
NEWZELAND,173,Devon Conway*,NO,29,1033,57.38,136.1,0,0,0.4881,0,0,0.4881,0.35
NEWZELAND,174,Michael Bracewell,NO,13,90,30,183.67,17,5.24,0.3444,1.31,0.2396,0.584,0.35
NEWZELAND,175,Finn Allen*,YES,19,511,26.89,166.99,0,0,0.2806,0,0,0.2806,0.35
INDIA,176,Rohit sharma,NO,143,3741,31.7,140.37,1,9.97,0.2781,0.01,0.0007,0.2788,0.5
INDIA,177,Rishabh Pant,NO,62,961,24.02,127.45,0,0,0.1913,0,0,0.1913,0.5
INDIA,178,Kl Rahul,NO,67,2141,38.92,139.93,0,0,0.3404,0,0,0.3404,0.5
INDIA,179,Virat Kohli*,YES,110,3794,51.97,138.41,4,8.05,0.4496,0.04,0.0043,0.4539,0.5
INDIA,180,Bhuvneshwar Kumar,NO,80,62,7.75,71.26,86,7,0.0345,1.08,0.1474,0.1819,0.5
INDIA,181,Ravichandran Ashwin,NO,60,164,27.33,114.68,66,6.81,0.1959,1.1,0.1551,0.351,0.5
INDIA,182,Deepak Hooda,NO,12,293,41.85,155.85,1,5.33,0.4076,0.08,0.015,0.4227,0.5
INDIA,183,Arshdeep Singh*,NO,14,4,0,133.33,22,8.13,0,1.57,0.1856,0.1856,0.5
INDIA,184,Axar Patel,NO,33,164,14.9,133.33,31,7.47,0.1242,0.94,0.1207,0.2449,0.5
INDIA,185,Dinesh Karthik,NO,57,673,28.04,145.98,0,18,0.2558,0,0,0.2558,0.5
INDIA,186,Hardik Pandya*,YES,74,1029,25.72,146.37,57,8.31,0.2353,0.77,0.089,0.3243,0.5
INDIA,187,Suryakumar Yadav,YES,35,1060,37.85,176.37,0,0,0.4172,0,0,0.4172,0.5
INDIA,188,Harshal Patel,NO,23,77,12.83,135.08,26,9.2,0.1083,1.13,0.118,0.2263,0.5
INDIA,189,Yuzvendra Chahal,NO,69,5,2.5,45.45,85,8.12,0.0071,1.23,0.1456,0.1527,0.5
INDIA,190,Mohammed Shami,NO,18,0,0,0,19,9.33,0,1.06,0.1086,0.1086,0.5
PAKISTAN,192,BABAR AZAM*,YES,87,3172,42.9,129.2,0,0,0.3464,0,0,0.3464,0.3
PAKISTAN,193,SHADAB KHAN,YES,72,378,18,138.5,85,7.08,0.1558,1.18,0.1601,0.3159,0.3
PAKISTAN,194,Haider ali,NO,31,497,19.9,127.4,0,0,0.1585,0,0,0.1585,0.3
PAKISTAN,195,khushdil shah,NO,24,309,20.6,110.8,0,7.5,0.1427,0,0,0.1427,0.3
PAKISTAN,196,MD. NAWAZ,NO,48,354,18.6,136.2,44,7.38,0.1583,0.92,0.1192,0.2776,0.3
PAKISTAN,197,MD. WASIM,NO,17,20,10,83,25,8.37,0.0519,1.47,0.1687,0.2205,0.3
PAKISTAN,198,SHAHEEN AFRIDI*,YES,38,19,9.5,95,47,7.76,0.0564,1.24,0.153,0.2094,0.3
PAKISTAN,199,HARIS RAUF,NO,47,46,6.6,135,64,8.2,0.0557,1.36,0.1594,0.2151,0.3
PAKISTAN,200,ASIF ALI,NO,53,531,15.6,135.1,0,0,0.1317,0,0,0.1317,0.3
PAKISTAN,201,IFTIKHAR AHAMMED,NO,34,539,26.9,125.6,2,7.08,0.2112,0.06,0.008,0.2191,0.3
PAKISTAN,202,MD. HASNAIN,NO,27,24,24,92,25,8.44,0.138,0.93,0.1053,0.2433,0.3
PAKISTAN,203,MD.RIZWAN*,NO,68,2429,52.8,128.7,0,0,0.4247,0,0,0.4247,0.3
PAKISTAN,204,NASEEM SHAH*,NO,9,18,6,225,11,7.89,0.0844,1.22,0.1487,0.2331,0.3
PAKISTAN,205,SHAN MASOOD,NO,12,220,24.4,125,0,0,0.1906,0,0,0.1906,0.3
SOUTH AFRICA,206,FAKHAR ZAMAN,NO,66,1349,22.1,129.2,0,12,0.1785,0,0,0.1785,0.3
SOUTH AFRICA,207,QUINTON DE KOCK*,NO,71,2032,32.2,134.2,0,0,0.2701,0,0,0.2701,0.25
SOUTH AFRICA,208,TABRAIZ SHAMSI,NO,57,8,2,34,69,7.15,0.0043,1.21,0.1625,0.1668,0.25
SOUTH AFRICA,209,ANRICH NORTJE,NO,23,11,2.2,40,24,7.5,0.0055,1.04,0.1336,0.1391,0.25
SOUTH AFRICA,210,TEMBA BAVUMA,NO,28,565,23.5,116.5,0,0,0.1711,0,0,0.1711,0.25
SOUTH AFRICA,211,RILEE ROSSOUW*,NO,21,558,37.2,152.9,0,0,0.3555,0,0,0.3555,0.25
SOUTH AFRICA,212,DAVID MILLER*,NO,106,2069,33.9,145.6,0,0,0.3085,0,0,0.3085,0.25
SOUTH AFRICA,213,HEINRICH KLAASEN,NO,35,651,25,147.6,0,0,0.2306,0,0,0.2306,0.25
SOUTH AFRICA,214,MARCO JANSEN,NO,1,12,12,70,1,9.5,0.0525,1,0.1011,0.1536,0.25
SOUTH AFRICA,215,WAYNE PARNELL,NO,48,163,27.2,102.2,52,8.28,0.1737,1.08,0.1256,0.2993,0.25
SOUTH AFRICA,216,AIDEN MARKRAM*,NO,26,780,41,151.2,6,7.4,0.3875,0.23,0.0299,0.4174,0.25
SOUTH AFRICA,217,KESHAV MAHARAJ,NO,20,56,14,107.7,19,7.05,0.0942,0.95,0.1294,0.2236,0.25
SOUTH AFRICA,218,LUNGI NGIDI,NO,31,12,2,41.4,49,8.98,0.0052,1.58,0.169,0.1742,0.25
SOUTH AFRICA,219,KAGISO RABADA*,NO,48,137,22.8,110.5,54,8.44,0.1575,1.13,0.128,0.2854,0.25
SOUTH AFRICA,220,REEZA HENDRICKS,NO,47,1372,29.8,125.4,0,21,0.2336,0,0,0.2336,0.25
SRILANKA,221,DASUN SHANAKA*,NO,80,1201,20.35,118.2,21,8.1,0.1503,0.26,0,0.1503,0.1
SRILANKA,222,CHARITH ASALANKA,NO,29,634,25.36,119.84,0,0,0.1899,0,0,0.1899,0.1
SRILANKA,223,DHANANJAYA DE SILVA,NO,31,551,19.67,110.86,9,6.71,0.1363,0.29,0.0415,0.1778,0.1
SRILANKA,224,LAHIRU KUMARA,NO,23,10,3.33,90.9,26,8.37,0.0189,1.13,0.1297,0.1486,0.1
SRILANKA,225,KUSAL MENDIS,NO,47,1016,22.57,130.92,0,0,0.1847,0,0,0.1847,0.1
SRILANKA,226,BHANUKA RAJAPAKSA*,NO,33,626,26.08,136.98,0,0,0.2233,0,0,0.2233,0.1
SRILANKA,227,JEFFREY VANDERSAY,NO,14,20,20,100,7,8,0.125,0.5,0.06,0.185,0.1
SRILANKA,228,KASUN RAJITHA,NO,11,16,8,36.36,12,9.29,0.0182,1.09,0.1127,0.1309,0.1
SRILANKA,229,WANINDU HASARANGA*,NO,50,464,14.06,120.51,81,6.77,0.1059,1.62,0.2297,0.3356,0.1
SRILANKA,230,CHAMIKA KARUARANTNE,NO,37,257,16.06,105.32,21,8.03,0.1057,0.57,0.0679,0.1736,0.1
SRILANKA,231,PRAMOD MADUSHAN,NO,4,1,1,100,9,8.05,0.0063,2.25,0.2683,0.2746,0.1
SRILANKA,232,PATHUM NISSANKA*,NO,34,938,29.31,112.47,0,0,0.206,0,0,0.206,0.1
SRILANKA,233,MAHEESH THEEKSHANA,NO,30,31,5.16,93.93,31,6.54,0.0303,1.03,0.1517,0.182,0.1
SRILANKA,234,BINURA FERNANDO,NO,12,30,30,107.14,12,8.06,0.2009,1,0.1191,0.32,0.1
SRILANKA,235,ASHEN BANDARA,NO,5,84,28,106.32,0,0,0.1861,0,0,0.1861,0.1
IRELAND,236,Andrew Balbirnie*,NO,77,1652,23.3,126,0,0,0.1835,0,0,0.1835,0.04
IRELAND,237,George Dockrell*,NO,100,852,18.9,129.6,79,7.14,0.1531,0.79,0.1062,0.2593,0.04
IRELAND,238,Fionn Hand,NO,19,206,36,200,18,9.28,0.45,0.95,0.098,0.548,0.04
IRELAND,239,Barry McCarthy,NO,29,174,19.3,126.1,25,9.3,0.1521,0.86,0.089,0.2411,0.04
IRELAND,240,Simi Singh*,NO,50,292,10.8,108.1,44,7.53,0.073,0.88,0.1122,0.1852,0.04
IRELAND,241,Lorcan Tucker,NO,43,721,20.6,122.6,0,0,0.1578,0,0,0.1578,0.04
IRELAND,242,Stephen Doheny,NO,35,1042,34.7,131.1,0,0,0.2843,0,0,0.2843,0.04
IRELAND,243,Joshua Little,NO,46,77,9.6,78.6,52,7.67,0.0472,1.13,0.1415,0.1886,0.04
IRELAND,244,Conor Olphert,NO,2,0,0,0,0,0,0,0,0,0,0.04
IRELAND,245,Harry Tector*,NO,44,711,21.5,121.5,0,0,0.1633,0,0,0.1633,0.04
IRELAND,246,Graham Hume,NO,1,0,0,0,0,10.25,0,0,0,0,0.04
NETHERLAND,251,Scott Edwards,NO,45,527,21.1,123.1,0,0,0.1623,0,0,0.1623,0.01
NETHERLAND,252,Brandon Glover,NO,21,2,0.7,18,30,6.77,0.0008,1.43,0.2026,0.2034,0.01
NETHERLAND,253,Fred Klaassen,NO,31,38,4.8,84,35,7.49,0.0252,1.13,0.1447,0.1699,0.01
NETHERLAND,254,Paul van Meekeren*,NO,51,54,4.5,96.4,56,6.98,0.0271,1.1,0.151,0.1781,0.01
NETHERLAND,255,Stephan Myburgh,NO,41,864,22.1,115,0,0,0.1588,0,0,0.1588,0.01
NETHERLAND,256,Vikram Singh,NO,6,75,12.5,96.2,0,0,0.0752,0,0,0.0752,0.01
NETHERLAND,257,Timm van der Gugten,NO,41,109,13.6,132.9,42,7.34,0.113,1.02,0.134,0.2469,0.01
NETHERLAND,258,Bas de Leede,NO,26,575,33.8,111.2,21,8.09,0.2349,0.81,0.0958,0.3308,0.01
NETHERLAND,259,Roelof van der Merwe,NO,48,460,21.9,129.2,56,6.39,0.1768,1.17,0.1753,0.3521,0.01
NETHERLAND,260,Max O'Dowd,NO,52,1471,31.3,123.9,3,9.39,0.2424,0.06,0.0059,0.2483,0.01
NETHERLAND,261,Tim Pringle,NO,10,40,8,80,6,5.52,0.04,0.6,0.1043,0.1443,0.01
NETHERLAND,262,Colin Ackermann*,NO,17,317,22.6,115.3,7,6.32,0.1629,0.41,0.0625,0.2254,0.01
NETHERLAND,263,Logan van Beek,NO,18,47,7.8,82.5,18,7.98,0.0402,1,0.1203,0.1605,0.01
NETHERLAND,264,Tom Cooper*,NO,27,582,25.3,130.2,3,7.63,0.2059,0.11,0.014,0.2199,0.01
NETHERLAND,265,Shariz Ahmad,NO,7,6,6,150,6,6.77,0.0563,0.86,0.1215,0.1778,0.01
ZIMBABWE,266,Craig Ervine,NO,54,1116,22.32,106.69,0,0,0.1488,0,0,0.1488,0.015
ZIMBABWE,267,Ryan Burl,NO,53,792,26.4,116.12,32,7.28,0.1916,0.6,0.0796,0.2712,0.015
ZIMBABWE,268,Tendai Chatara,NO,45,32,6.4,69.56,51,7.27,0.0278,1.13,0.1497,0.1775,0.015
ZIMBABWE,269,Luke Jongwe,NO,43,325,14.13,117.32,49,8.38,0.1036,1.14,0.1305,0.2342,0.015
ZIMBABWE,270,Wessly Madhevere,NO,42,900,23.68,123.96,10,7.18,0.1835,0.24,0.0318,0.2153,0.015
ZIMBABWE,271,Tony Munyonga,NO,11,111,18.5,98.23,0,3,0.1136,0,0,0.1136,0.015
ZIMBABWE,272,Richard Ngarava,NO,29,25,6.25,104.16,28,7.82,0.0407,0.97,0.1185,0.1592,0.015
ZIMBABWE,273,Sikandar Raza*,NO,64,1185,20.43,127.55,37,7.21,0.1629,0.58,0.077,0.2398,0.015
ZIMBABWE,274,Brad Evans,NO,6,30,10,100,5,7.27,0.0625,0.83,0.11,0.1725,0.015
ZIMBABWE,275,Clive Madande,NO,1,2,2,18.18,0,0,0.0023,0,0,0.0023,0.015
ZIMBABWE,276,Wellington Masakadza,NO,35,82,7.45,86.31,31,7.22,0.0402,0.89,0.1178,0.158,0.015
ZIMBABWE,277,Blessing Muzarabani*,NO,32,18,4.5,56.25,39,7.83,0.0158,1.22,0.1494,0.1652,0.015
ZIMBABWE,278,Milton Shumba,NO,29,383,21.27,108.49,4,8.58,0.1442,0.14,0.0154,0.1597,0.015
ZIMBABWE,279,Sean Williams,NO,64,1390,23.96,126.82,41,6.94,0.1899,0.64,0.0886,0.2785,0.015